"r0","Development",
"r2","02","Sei-an City (Aristocratic Qtr.) - Himiko's Palace",
"r2","03","Dragon Palace",
"r2","04","Inside the Dragon",
"r2","05","Sunken Ship",
"r2","06","Imperial Palace - Ammy Size",
"r2","07","Imperial Palace - Issun Size",
"r2","08","Oni Island - Lower Interior",
"r2","09","Oni Island - Ninetales Arena",
"r2","0a","Catcall Tower",
"r2","0b","Imperial Palace - Blight Arena",
"r2","0c","Sei-an City (Commoners Qtr.) - Kimono Shop",
"r2","0d","Oni Island - Exterior",
"r2","0e","Oni Island - Upper Interior",
"r2","0f","Oni Island - Sidescroller",

"r3","Kamui",
"r3","01","Wep'keer",
"r3","02","Kamiki Village - 100 years ago",
"r3","03","Wawku Shrine",
"r3","04","Wawku Shrine - Nechku Arena",
"r3","05","Ponc'tan",
"r3","06","Moon Cave - 100 years ago",
"r3","07","Ark of Yamato",
"r3","08","Ark of Yamato - Spider Queen Arena",
"r3","09","Ark of Yamato - Orochi Arena",
"r3","0a","Ark of Yamato - Blight Arena",
"r3","0b","Ark of Yamato - Ninetales Arena",
"r3","0c","Ark of Yamato - Crimson Helm Arena",
"r3","0d","Ponc'tan - Mrs. Seal's House",
"r3","10","Yoshpet",
"r3","11","Inner Yoshpet",
"r3","12","Ark of Yamato - Yami Arena",
"r3","13","Wep'keer Square",
"r3","14","Wawku Shrine - Lechku & Nechku Arena",

"rc","Title Screen",
"rc","00","Return to Title Screen",
"rc","02","Presents from Issun",

"rd","Beta",
"rd","00","Beta Shinshu",
"rd","01","Beta Hana",
"rd","02","Beta Tsuta",
"rd","03","Beta Agata",
"rd","04","Beta Ryoshima",
"rd","05","Beta Kamui",
"rd","06","Beta Taka",
"rd","07","Title Screen Demo Cutscene Village",

"re","Fishing",
"re","00","Fishing with Benkei on Sei-an Bridge",
"re","01","Fishing with Benkei next to Himiko's Palace",
"re","02","Fishing with Kokari in Agata",
"re","03","Fishing with Kokari in Kamui",
"re","04","Fishing with Fisherman in NRyo",

"rf","Overworld",
"rf","01","Shinshu Field - Cursed",
"rf","02","Shinshu Field - Healed",
"rf","03","Agata Forest - Cursed",
"rf","04","Agata Forest - Healed",
"rf","06","Moon Cave Entrance",
"rf","07","Taka Pass - Cursed",
"rf","08","Taka Pass - Healed",
"rf","09","Ryoshima Coast - Cursed",
"rf","0a","Ryoshima Coast - Healed",
"rf","0c","N. Ryoshima Coast",
"rf","11","Kamui - Cursed",
"rf","12","Kamui - Healed",
"rf","13","Kamui (Ezofuji)",
"rf","20","Shinshu Field - 100 years ago",
"rf","21","Moon Cave Entrance - 100 years ago",

"pl","Player",
"pl","00","Player",
"pl","0a","Player",
"pl","0b","Player",
"pl","0c","Player",
"pl","0d","Player",
"pl","0e","Player",
"pl","0f","Player",
"pl","01","Player",
"pl","02","Player",
"pl","03","Player",
"pl","04","Player",
"pl","05","Player",
"pl","06","Player",
"pl","07","Player",
"pl","08","Player",
"pl","09","Player",

"em","Enemies",
"em","00","Enemies",
"em","01","Enemies",
"em","02","Enemies",
"em","03","Enemies",
"em","04","Enemies",
"em","05","Enemies",
"em","06","Enemies",
"em","08","Enemies",
"em","09","Enemies",
"em","0a","Enemies",
"em","0b","Enemies",
"em","0c","Enemies",
"em","0d","Enemies",
"em","0e","Enemies",
"em","0f","Enemies",
"em","10","Enemies",
"em","11","Enemies",
"em","12","Enemies",
"em","13","Enemies",
"em","14","Enemies",
"em","16","Enemies",
"em","17","Enemies",
"em","18","Enemies",
"em","19","Enemies",
"em","1a","Enemies",
"em","1b","Enemies",
"em","1c","Enemies",
"em","1d","Enemies",
"em","1e","Enemies",
"em","1f","Enemies",
"em","21","Enemies",
"em","22","Enemies",
"em","23","Enemies",
"em","24","Enemies",
"em","26","Enemies",
"em","27","Enemies",
"em","28","Enemies",
"em","29","Enemies",
"em","2a","Enemies",
"em","2b","Enemies",
"em","2c","Enemies",
"em","2d","Enemies",
"em","2e","Enemies",
"em","2f","Enemies",
"em","30","Enemies",
"em","31","Enemies",
"em","32","Enemies",
"em","33","Enemies",
"em","34","Enemies",
"em","37","Enemies",
"em","38","Enemies",
"em","39","Enemies",
"em","3a","Enemies",
"em","3d","Enemies",
"em","3e","Enemies",
"em","3f","Enemies",
"em","40","Enemies",
"em","41","Enemies",
"em","42","Enemies",
"em","43","Enemies",
"em","44","Enemies",
"em","45","Enemies",
"em","46","Enemies",
"em","47","Enemies",
"em","48","Enemies",
"em","49","Enemies",
"em","4a","Enemies",
"em","4b","Enemies",
"em","4c","Enemies",
"em","4d","Enemies",
"em","4e","Enemies",
"em","4f","Enemies",
"em","50","Enemies",
"em","51","Enemies",
"em","52","Enemies",
"em","53","Enemies",
"em","54","Enemies",
"em","55","Enemies",
"em","56","Enemies",
"em","57","Enemies",
"em","58","Enemies",
"em","59","Enemies",
"em","5a","Enemies",
"em","5b","Enemies",
"em","5c","Enemies",
"em","5d","Enemies",
"em","5e","Enemies",
"em","60","Enemies",
"em","61","Enemies",
"em","62","Enemies",
"em","63","Enemies",
"em","64","Enemies",
"em","65","Enemies",
"em","66","Enemies",
"em","67","Enemies",
"em","68","Enemies",
"em","69","Enemies",
"em","6a","Enemies",
"em","6b","Enemies",
"em","6c","Enemies",
"em","6d","Enemies",
"em","6e","Enemies",
"em","6f","Enemies",
"em","70","Enemies",
"em","71","Enemies",
"em","72","Enemies",
"em","73","Enemies",
"em","74","Enemies",
"em","76","Enemies",
"em","77","Enemies",
"em","78","Enemies",
"em","79","Enemies",
"em","7a","Enemies",
"em","7b","Enemies",
"em","7c","Enemies",
"em","7d","Enemies",
"em","7e","Enemies",
"em","7f","Enemies",
"em","80","Enemies",
"em","81","Enemies",
"em","82","Enemies",
"em","83","Enemies",
"em","84","Enemies",
"em","85","Enemies",
"em","86","Enemies",
"em","87","Enemies",
"em","88","Enemies",
"em","89","Enemies",
"em","8a","Enemies",
"em","8b","Enemies",
"em","8c","Enemies",
"em","8d","Enemies",
"em","8e","Enemies",
"em","8f","Enemies",
"em","90","Enemies",
"em","91","Enemies",
"em","92","Enemies",
"em","93","Enemies",
"em","94","Enemies",

"an","Animals",
"an","00","Animals",
"an","01","Animals",
"an","02","Animals",
"an","03","Animals",
"an","04","Animals",
"an","05","Animals",
"an","06","Animals",
"an","07","Animals",
"an","08","Animals",
"an","09","Animals",
"an","0a","Animals",
"an","0b","Animals",
"an","0c","Animals",
"an","0d","Animals",
"an","0e","Animals",
"an","0f","Animals",
"an","10","Animals",
"an","11","Animals",
"an","13","Animals",
"an","16","Animals",
"an","18","Animals",
"an","19","Animals",
"an","1a","Animals",
"an","1b","Animals",
"an","1c","Animals",
"an","1d","Animals",
"an","1e","Animals",
"an","1f","Animals",
"an","20","Animals",
"an","21","Animals",
"an","22","Animals",
"an","23","Animals",
"an","24","Animals",
"an","25","Animals",
"an","26","Animals",
"an","27","Animals",
"an","2a","Animals",
"an","2b","Animals",
"an","2c","Animals",
"an","80","Animals",
"an","81","Animals",
"an","82","Animals",
"an","83","Animals",
"an","84","Animals",
"an","85","Animals",
"an","86","Animals",
"an","8c","Animals",
"an","a0","Animals",
"an","a1","Animals",
"an","a2","Animals",
"an","a3","Animals",
"an","a4","Animals",
"an","a5","Animals",
"an","a6","Animals",
"an","a7","Animals",
"an","a8","Animals",
"an","a9","Animals",
"an","aa","Animals",
"an","ab","Animals",
"an","ac","Animals",
"an","ad","Animals",
"an","ae","Animals",
"an","af","Animals",
"an","b0","Animals",
"an","b1","Animals",
"an","b2","Animals",
"an","b3","Animals",
"an","b4","Animals",
"an","b5","Animals",
"an","b6","Animals",
"an","b7","Animals",
"an","b8","Animals",
"an","b9","Animals",
"an","ba","Animals",
"an","bb","Animals",
"an","bc","Animals",
"an","bd","Animals",
"an","be","Animals",
"an","bf","Animals",
"an","c0","Animals",
"an","c1","Animals",
"an","c2","Animals",
"an","c3","Animals",
"an","c4","Animals",
"an","c5","Animals",
"an","c6","Animals",
"an","c7","Animals",
"an","c8","Animals",
"an","c9","Animals",
"an","ca","Animals",
"an","cb","Animals",

"it","Items",
"it","00","Items",
"it","01","Items",
"it","02","Items",
"it","03","Items",
"it","04","Items",
"it","05","Items",
"it","06","Items",
"it","07","Items",
"it","08","Items",
"it","09","Items",
"it","0a","Items",
"it","0b","Items",
"it","0c","Items",
"it","0d","Items",
"it","0e","Items",
"it","0f","Items",
"it","10","Items",
"it","11","Items",
"it","12","Items",
"it","13","Items",
"it","14","Items",
"it","15","Items",
"it","16","Items",
"it","17","Items",
"it","18","Items",
"it","19","Items",
"it","1a","Items",
"it","1b","Items",
"it","1c","Items",
"it","1d","Items",
"it","1e","Items",
"it","1f","Items",
"it","20","Items",
"it","21","Items",
"it","22","Items",
"it","23","Items",
"it","24","Items",
"it","25","Items",
"it","26","Items",
"it","27","Items",
"it","28","Items",
"it","29","Items",
"it","2a","Items",
"it","2b","Items",
"it","2c","Items",
"it","2d","Items",
"it","2e","Items",
"it","2f","Items",
"it","30","Items",
"it","31","Items",
"it","32","Items",
"it","33","Items",
"it","34","Items",
"it","35","Items",
"it","36","Items",
"it","37","Items",
"it","38","Items",
"it","39","Items",
"it","3a","Items",
"it","3b","Items",
"it","3c","Items",
"it","3d","Items",
"it","3e","Items",
"it","3f","Items",
"it","40","Items",
"it","41","Items",
"it","42","Items",
"it","43","Items",
"it","44","Items",
"it","45","Items",
"it","46","Items",
"it","47","Items",
"it","48","Items",
"it","49","Items",
"it","4a","Items",
"it","4b","Items",
"it","4c","Items",
"it","4d","Items",
"it","4e","Items",
"it","4f","Items",
"it","50","Items",
"it","51","Items",
"it","52","Items",
"it","53","Items",
"it","54","Items",
"it","55","Items",
"it","56","Items",
"it","57","Items",
"it","58","Items",
"it","5c","Items",
"it","5d","Items",
"it","5e","Items",
"it","5f","Items",
"it","60","Items",
"it","61","Items",
"it","62","Items",
"it","63","Items",
"it","64","Items",
"it","65","Items",
"it","66","Items",
"it","67","Items",
"it","68","Items",
"it","69","Items",
"it","6a","Items",
"it","6b","Items",
"it","6c","Items",
"it","6d","Items",
"it","6e","Items",
"it","6f","Items",
"it","70","Items",
"it","71","Items",
"it","72","Items",
"it","73","Items",
"it","74","Items",
"it","75","Items",
"it","76","Items",
"it","77","Items",
"it","78","Items",
"it","79","Items",
"it","7a","Items",
"it","7d","Items",
"it","7e","Items",
"it","7f","Items",
"it","80","Items",
"it","81","Items",
"it","82","Items",
"it","83","Items",
"it","84","Items",
"it","85","Items",
"it","86","Items",
"it","87","Items",
"it","88","Items",
"it","89","Items",
"it","8a","Items",
"it","8b","Items",
"it","8c","Items",
"it","8d","Items",
"it","8e","Items",
"it","8f","Items",
"it","90","Items",
"it","91","Items",
"it","92","Items",
"it","93","Items",
"it","94","Items",
"it","95","Items",
"it","96","Items",
"it","97","Items",
"it","98","Items",
"it","99","Items",
"it","9a","Items",
"it","9b","Items",
"it","9c","Items",
"it","9d","Items",
"it","9e","Items",
"it","a0","Items",
"it","a1","Items",
"it","a2","Items",
"it","a3","Items",
"it","a4","Items",
"it","a5","Items",
"it","a6","Items",
"it","a7","Items",
"it","a8","Items",
"it","a9","Items",
"it","aa","Items",
"it","ab","Items",
"it","ac","Items",
"it","ad","Items",
"it","ae","Items",
"it","af","Items",
"it","b0","Items",
"it","b1","Items",
"it","b2","Items",
"it","b3","Items",
"it","b4","Items",
"it","b5","Items",
"it","b6","Items",
"it","b7","Items",
"it","b8","Items",
"it","b9","Items",
"it","ba","Items",
"it","bb","Items",
"it","bc","Items",
"it","bd","Items",
"it","be","Items",
"it","bf","Items",
"it","c0","Items",
"it","c1","Items",
"it","c2","Items",
"it","c3","Items",
"it","c4","Items",
"it","c5","Items",
"it","c6","Items",
"it","c7","Items",
"it","cc","Items",
"it","cd","Items",
"it","e0","Items",
"it","e1","Items",
"it","f8","Items",
"it","f9","Items",
"it","fa","Items",
"it","fb","Items",
"it","fc","Items",
"it","fd","Items",

"dr","Doors",
"dr","00","Doors",
"dr","01","Doors",
"dr","02","Doors",
"dr","03","Doors",
"dr","04","Doors",
"dr","05","Doors",
"dr","06","Doors",
"dr","07","Doors",
"dr","08","Doors",
"dr","09","Doors",
"dr","0a","Doors",
"dr","0b","Doors",
"dr","0c","Doors",
"dr","0d","Doors",
"dr","0e","Doors",
"dr","0f","Doors",
"dr","10","Doors",
"dr","11","Doors",
"dr","12","Doors",
"dr","13","Doors",
"dr","14","Doors",
"dr","15","Doors",
"dr","16","Doors",
"dr","17","Doors",
"dr","18","Doors",
"dr","19","Doors",
"dr","1a","Doors",
"dr","1b","Doors",
"dr","1c","Doors",
"dr","1d","Doors",
"dr","1e","Doors",
"dr","1f","Doors",
"dr","20","Doors",
"dr","22","Doors",
"dr","23","Doors",
"dr","24","Doors",
"dr","25","Doors",
"dr","26","Doors",
"dr","27","Doors",
"dr","28","Doors",
"dr","30","Doors",
"dr","31","Doors",
"dr","32","Doors",
"dr","33","Doors",
"dr","34","Doors",
"dr","35","Doors",
"dr","36","Doors",
"dr","37","Doors",
"dr","38","Doors",
"dr","3b","Doors",
"dr","3c","Doors",
"dr","3d","Doors",
"dr","3e","Doors",
"dr","3f","Doors",
"dr","40","Doors",
"dr","41","Doors",
"dr","42","Doors",
"dr","43","Doors",
"dr","44","Doors",
"dr","45","Doors",
"dr","46","Doors",
"dr","47","Doors",
"dr","48","Doors",
"dr","49","Doors",
"dr","4a","Doors",

"hm","Humans",
"hm","00","Humans",
"hm","01","Humans",
"hm","02","Humans",
"hm","03","Humans",
"hm","04","Humans",
"hm","05","Humans",
"hm","06","Humans",
"hm","07","Humans",
"hm","08","Humans",
"hm","09","Humans",
"hm","0a","Humans",
"hm","0b","Humans",
"hm","0c","Humans",
"hm","0d","Humans",
"hm","0e","Humans",
"hm","0f","Humans",
"hm","10","Humans",
"hm","11","Humans",
"hm","12","Humans",
"hm","13","Humans",
"hm","14","Humans",
"hm","15","Humans",
"hm","16","Humans",
"hm","17","Humans",
"hm","18","Humans",
"hm","19","Humans",
"hm","1a","Humans",
"hm","1b","Humans",
"hm","1c","Humans",
"hm","1d","Humans",
"hm","1e","Humans",
"hm","1f","Humans",
"hm","20","Humans",
"hm","21","Humans",
"hm","22","Humans",
"hm","23","Humans",
"hm","24","Humans",
"hm","25","Humans",
"hm","26","Humans",
"hm","27","Humans",
"hm","28","Humans",
"hm","29","Humans",
"hm","2a","Humans",
"hm","2b","Humans",
"hm","2c","Humans",
"hm","2d","Humans",
"hm","2e","Humans",
"hm","2f","Humans",
"hm","30","Humans",
"hm","31","Humans",
"hm","32","Humans",
"hm","33","Humans",
"hm","34","Humans",
"hm","35","Humans",
"hm","36","Humans",
"hm","37","Humans",
"hm","38","Humans",
"hm","39","Humans",
"hm","3a","Humans",
"hm","3b","Humans",
"hm","3c","Humans",
"hm","3d","Humans",
"hm","3e","Humans",
"hm","3f","Humans",
"hm","40","Humans",
"hm","41","Humans",
"hm","42","Humans",
"hm","43","Humans",
"hm","44","Humans",
"hm","45","Humans",
"hm","46","Humans",
"hm","47","Humans",
"hm","48","Humans",
"hm","49","Humans",
"hm","4a","Humans",
"hm","4b","Humans",
"hm","4c","Humans",
"hm","4d","Humans",
"hm","4e","Humans",
"hm","4f","Humans",
"hm","50","Humans",
"hm","51","Humans",
"hm","52","Humans",
"hm","53","Humans",
"hm","54","Humans",
"hm","55","Humans",
"hm","56","Humans",
"hm","57","Humans",
"hm","58","Humans",
"hm","59","Humans",
"hm","5a","Humans",
"hm","5b","Humans",
"hm","5c","Humans",
"hm","5d","Humans",
"hm","5e","Humans",
"hm","5f","Humans",
"hm","60","Humans",
"hm","61","Humans",
"hm","62","Humans",
"hm","63","Humans",
"hm","64","Humans",
"hm","65","Humans",
"hm","66","Humans",
"hm","67","Humans",
"hm","68","Humans",
"hm","69","Humans",
"hm","6a","Humans",
"hm","6b","Humans",
"hm","6c","Humans",
"hm","6d","Humans",
"hm","6e","Humans",
"hm","6f","Humans",
"hm","70","Humans",
"hm","71","Humans",
"hm","72","Humans",
"hm","73","Humans",
"hm","74","Humans",
"hm","75","Humans",
"hm","76","Humans",
"hm","77","Humans",
"hm","78","Humans",
"hm","79","Humans",
"hm","7a","Humans",
"hm","7b","Humans",
"hm","7c","Humans",
"hm","7d","Humans",
"hm","7e","Humans",
"hm","7f","Humans",
"hm","80","Humans",
"hm","81","Humans",
"hm","82","Humans",
"hm","83","Humans",
"hm","84","Humans",
"hm","85","Humans",
"hm","86","Humans",
"hm","87","Humans",
"hm","88","Humans",
"hm","89","Humans",
"hm","8a","Humans",
"hm","8b","Humans",
"hm","8c","Humans",
"hm","8d","Humans",
"hm","8e","Humans",
"hm","8f","Humans",
"hm","90","Humans",
"hm","91","Humans",
"hm","92","Humans",
"hm","93","Humans",
"hm","94","Humans",
"hm","95","Humans",
"hm","96","Humans",
"hm","97","Humans",
"hm","98","Humans",
"hm","99","Humans",
"hm","9a","Humans",
"hm","9b","Humans",
"hm","9c","Humans",
"hm","9d","Humans",
"hm","9e","Humans",
"hm","9f","Humans",
"hm","a1","Humans",
"hm","a2","Humans",
"hm","a3","Humans",
"hm","a4","Humans",
"hm","a5","Humans",
"hm","a6","Humans",
"hm","a7","Humans",
"hm","a8","Humans",
"hm","a9","Humans",
"hm","aa","Humans",
"hm","ab","Humans",
"hm","ac","Humans",
"hm","ad","Humans",
"hm","ae","Humans",
"hm","af","Humans",
"hm","b0","Humans",
"hm","b1","Humans",
"hm","b2","Humans",
"hm","b3","Humans",
"hm","b4","Humans",
"hm","b5","Humans",
"hm","b6","Humans",
"hm","b7","Humans",
"hm","b8","Humans",
"hm","b9","Humans",
"hm","ba","Humans",
"hm","bb","Humans",
"hm","bc","Humans",
"hm","bd","Humans",
"hm","be","Humans",
"hm","bf","Humans",
"hm","c0","Humans",
"hm","c1","Humans",
"hm","c2","Humans",
"hm","c3","Humans",
"hm","c4","Humans",
"hm","c5","Humans",
"hm","c6","Humans",
"hm","c7","Humans",
"hm","c8","Humans",
"hm","c9","Humans",
"hm","ca","Humans",
"hm","cb","Humans",
"hm","cc","Humans",
"hm","cd","Humans",
"hm","ce","Humans",
"hm","cf","Humans",
"hm","d0","Humans",
"hm","d1","Humans",
"hm","d2","Humans",
"hm","d3","Humans",
"hm","d4","Humans",
"hm","d5","Humans",
"hm","d6","Humans",
"hm","d7","Humans",
"hm","d8","Humans",
"hm","d9","Humans",
"hm","da","Humans",
"hm","db","Humans",
"hm","dc","Humans",
"hm","de","Humans",
"hm","df","Humans",
"hm","e0","Humans",
"hm","e1","Humans",
"hm","e2","Humans",
"hm","e3","Humans",
"hm","e4","Humans",
"hm","e5","Humans",
"hm","ff","Humans",

"hl","Humans",
"hl","00","Humans",
"hl","01","Humans",
"hl","02","Humans",
"hl","03","Humans",
"hl","04","Humans",
"hl","05","Humans",
"hl","06","Humans",
"hl","07","Humans",
"hl","08","Humans",
"hl","09","Humans",
"hl","0a","Humans",
"hl","0b","Humans",
"hl","0c","Humans",
"hl","0d","Humans",
"hl","0e","Humans",
"hl","0f","Humans",
"hl","10","Humans",
"hl","11","Humans",
"hl","12","Humans",
"hl","13","Humans",
"hl","14","Humans",
"hl","15","Humans",
"hl","16","Humans",
"hl","17","Humans",
"hl","18","Humans",
"hl","19","Humans",
"hl","1a","Humans",
"hl","1b","Humans",
"hl","1c","Humans",
"hl","1d","Humans",
"hl","1e","Humans",
"hl","1f","Humans",
"hl","20","Humans",
"hl","21","Humans",
"hl","22","Humans",
"hl","23","Humans",
"hl","24","Humans",
"hl","25","Humans",
"hl","26","Humans",
"hl","27","Humans",
"hl","28","Humans",
"hl","29","Humans",
"hl","2a","Humans",
"hl","2b","Humans",
"hl","2c","Humans",
"hl","2d","Humans",
"hl","2e","Humans",
"hl","2f","Humans",
"hl","30","Humans",
"hl","31","Humans",
"hl","32","Humans",
"hl","33","Humans",
"hl","34","Humans",
"hl","35","Humans",
"hl","36","Humans",
"hl","37","Humans",
"hl","38","Humans",
"hl","39","Humans",
"hl","3a","Humans",
"hl","3b","Humans",
"hl","3c","Humans",
"hl","3d","Humans",
"hl","3e","Humans",
"hl","3f","Humans",
"hl","40","Humans",
"hl","41","Humans",
"hl","42","Humans",
"hl","43","Humans",
"hl","44","Humans",
"hl","45","Humans",
"hl","46","Humans",
"hl","47","Humans",
"hl","48","Humans",
"hl","49","Humans",
"hl","4a","Humans",
"hl","4b","Humans",
"hl","4c","Humans",
"hl","4d","Humans",
"hl","4e","Humans",
"hl","4f","Humans",
"hl","50","Humans",
"hl","51","Humans",
"hl","52","Humans",
"hl","53","Humans",
"hl","54","Humans",
"hl","55","Humans",
"hl","56","Humans",
"hl","57","Humans",
"hl","58","Humans",
"hl","59","Humans",
"hl","5a","Humans",
"hl","5b","Humans",
"hl","5c","Humans",
"hl","5d","Humans",
"hl","5e","Humans",
"hl","5f","Humans",
"hl","60","Humans",
"hl","61","Humans",
"hl","62","Humans",
"hl","63","Humans",
"hl","64","Humans",
"hl","65","Humans",
"hl","66","Humans",
"hl","67","Humans",
"hl","68","Humans",
"hl","69","Humans",
"hl","6a","Humans",
"hl","6b","Humans",
"hl","6c","Humans",
"hl","6d","Humans",
"hl","6e","Humans",
"hl","6f","Humans",
"hl","70","Humans",
"hl","71","Humans",
"hl","72","Humans",
"hl","73","Humans",
"hl","74","Humans",
"hl","75","Humans",
"hl","76","Humans",
"hl","77","Humans",
"hl","78","Humans",
"hl","79","Humans",
"hl","7a","Humans",
"hl","7b","Humans",
"hl","7c","Humans",
"hl","7d","Humans",
"hl","7e","Humans",
"hl","7f","Humans",
"hl","80","Humans",
"hl","81","Humans",
"hl","82","Humans",
"hl","83","Humans",
"hl","84","Humans",
"hl","85","Humans",
"hl","86","Humans",
"hl","87","Humans",
"hl","88","Humans",
"hl","89","Humans",
"hl","8a","Humans",
"hl","8b","Humans",
"hl","8c","Humans",
"hl","8d","Humans",
"hl","8e","Humans",
"hl","8f","Humans",
"hl","90","Humans",
"hl","91","Humans",
"hl","92","Humans",
"hl","93","Humans",
"hl","94","Humans",
"hl","95","Humans",
"hl","96","Humans",
"hl","97","Humans",
"hl","98","Humans",
"hl","99","Humans",
"hl","9a","Humans",
"hl","9b","Humans",
"hl","9c","Humans",
"hl","9d","Humans",
"hl","9e","Humans",
"hl","9f","Humans",
"hl","a1","Humans",
"hl","a2","Humans",
"hl","a3","Humans",
"hl","a4","Humans",
"hl","a5","Humans",
"hl","a6","Humans",
"hl","a7","Humans",
"hl","a8","Humans",
"hl","a9","Humans",
"hl","aa","Humans",
"hl","ab","Humans",
"hl","ac","Humans",
"hl","ad","Humans",
"hl","ae","Humans",
"hl","af","Humans",
"hl","b0","Humans",
"hl","b1","Humans",
"hl","b3","Humans",
"hl","b4","Humans",
"hl","b5","Humans",
"hl","b6","Humans",
"hl","b7","Humans",
"hl","b8","Humans",
"hl","b9","Humans",
"hl","ba","Humans",
"hl","bb","Humans",
"hl","bc","Humans",
"hl","bd","Humans",
"hl","be","Humans",
"hl","bf","Humans",
"hl","c0","Humans",
"hl","c1","Humans",
"hl","c2","Humans",
"hl","c3","Humans",
"hl","c4","Humans",
"hl","c5","Humans",
"hl","c6","Humans",
"hl","c7","Humans",
"hl","c8","Humans",
"hl","c9","Humans",
"hl","ca","Humans",
"hl","cb","Humans",
"hl","cc","Humans",
"hl","cd","Humans",
"hl","ce","Humans",
"hl","cf","Humans",
"hl","d0","Humans",
"hl","d1","Humans",
"hl","d2","Humans",
"hl","d3","Humans",
"hl","d4","Humans",
"hl","d5","Humans",
"hl","d6","Humans",
"hl","d7","Humans",
"hl","d8","Humans",
"hl","d9","Humans",
"hl","da","Humans",
"hl","db","Humans",
"hl","dc","Humans",
"hl","de","Humans",
"hl","df","Humans",
"hl","e0","Humans",
"hl","e1","Humans",
"hl","e2","Humans",
"hl","e3","Humans",
"hl","e4","Humans",
"hl","ff","Humans",

"es","Unknown",
"es","00","Unknown",
"es","01","Unknown",
"es","02","Unknown",
"es","03","Unknown",
"es","04","Unknown",
"es","05","Unknown",
"es","06","Unknown",
"es","07","Unknown",
"es","08","Unknown",
"es","09","Unknown",
"es","0a","Unknown",
"es","0b","Unknown",
"es","0c","Unknown",
"es","0d","Unknown",
"es","0e","Unknown",
"es","0f","Unknown",
"es","10","Unknown",
"es","11","Unknown",
"es","12","Unknown",
"es","13","Unknown",
"es","14","Unknown",
"es","15","Unknown",
"es","16","Unknown",
"es","17","Unknown",
"es","18","Unknown",
"es","19","Unknown",
"es","1a","Unknown",
"es","1b","Unknown",
"es","1c","Unknown",
"es","1d","Unknown",
"es","1e","Unknown",
"es","1f","Unknown",
"es","20","Unknown",
"es","21","Unknown",
"es","22","Unknown",
"es","23","Unknown",
"es","24","Unknown",
"es","25","Unknown",
"es","26","Unknown",
"es","27","Unknown",
"es","28","Unknown",
"es","29","Unknown",
"es","2a","Unknown",
"es","2b","Unknown",
"es","2c","Unknown",
"es","2d","Unknown",
"es","2e","Unknown",
"es","2f","Unknown",
"es","30","Unknown",
"es","31","Unknown",
"es","32","Unknown",
"es","33","Unknown",
"es","34","Unknown",
"es","35","Unknown",
"es","36","Unknown",
"es","37","Unknown",
"es","38","Unknown",
"es","39","Unknown",
"es","3a","Unknown",
"es","3b","Unknown",
"es","3c","Unknown",
"es","3d","Unknown",
"es","3e","Unknown",
"es","40","Unknown",
"es","41","Unknown",
"es","42","Unknown",
"es","43","Unknown",
"es","44","Unknown",
"es","45","Unknown",
"es","46","Unknown",
"es","47","Unknown",
"es","48","Unknown",
"es","49","Unknown",
